SPOT_ID,FRAME,POSITION_X,POSITION_Y
4905,6,248.8533929513748,251.19717790953476
4906,6,92.32288475135167,259.3940662086413
4907,6,301.9667061975456,290.51969641647105
4908,6,105.73817286773897,296.60267022780687
4909,6,319.1374441477697,297.3842798231314
4910,6,251.35879062332043,314.5174765588726
4911,3,367.4020073480402,0.0
4912,3,375.13000750260017,0.0
4913,3,373.59658689869866,7.001578046157315
4914,3,378.81148998470366,10.89100433772582
4915,3,394.1306144355067,16.539240357752693
4916,3,411.56635667409716,25.88997934450813
4917,3,184.0056056109036,47.3080703731124
4918,3,308.9037695315432,48.885520395554025
4919,3,311.7034321470558,55.04383460746316
4920,3,351.5014655466435,66.51916148918447
4921,3,420.52611439215,75.75657682177084
4922,3,419.2824484532888,114.24504076700092
4923,3,97.80461524780358,116.88119122249269
4924,3,248.54125056495084,124.02751533188452
4925,3,342.52929755650155,139.04049895446806
4926,3,237.51083341442023,145.28301976078097
4927,3,83.90573778539358,152.8869465914202
4928,3,200.56646443570705,160.1962301130875
4929,3,336.6182759486948,168.22143817196954
4930,3,327.33549325545465,171.4322846131269
4931,3,251.7186730762226,174.09826068043728
4932,3,131.7480069126679,174.4992852163303
4933,3,389.1477814056401,177.23146187977792
4934,3,101.67049535483997,195.72209642598426
4935,3,185.83260661724938,206.10982260960816
4936,3,418.18539215175946,241.519561934201
4937,3,69.82438409758805,248.14323342097362
4938,3,249.97093865353088,251.12003984079158
4939,3,92.35405315098807,259.79548813174375
4940,3,292.31976027330865,292.040396340066
4941,3,105.95282036580679,296.32405056702777
4942,3,294.1872549723923,298.2515761983841
4943,3,251.04734976923115,313.3218943464605
4944,0,374.8080074961602,0.0
4945,0,379.58021117448186,5.09297763695571
4946,0,393.8214569153533,17.832668901661716
4947,0,411.60001804957136,24.898521810411076
4948,0,183.13919235203346,48.35189646923302
4949,0,308.2863123830953,50.164051461702826
4950,0,310.7901677882538,55.73250094112724
4951,0,351.0920755026245,67.21601312649366
4952,0,419.76312337488895,76.39530825717189
4953,0,417.129289525314,113.47607274139243
4954,0,97.136267654142,117.53096167598443
4955,0,342.6273782191961,140.18452812680675
4956,0,236.85892098871818,146.00185142768933
4957,0,83.43036641101142,154.43775818785272
4958,0,197.64541262195166,156.25544391050587
4959,0,336.88648223905375,168.54159805364287
4960,0,327.1483199593294,171.96867077044095
4961,0,131.4749550405716,174.6081334087697
4962,0,249.88301891152747,175.41134092990902
4963,0,389.0030661115416,176.8663732797657
4964,0,105.49469363352074,201.0574018761439
4965,0,184.62356608514116,206.35837001529572
4966,0,417.48092085429437,242.1713139208149
4967,0,69.04426650334901,248.95605134198485
4968,0,249.2607409202976,251.79654182782372
4969,0,91.98703896953553,260.16996821618767
4970,0,290.8249839637522,293.4685070773266
4971,0,105.46869826574567,297.5191232116515
4972,0,292.26772073315414,297.97828336331514
4973,0,250.38463254153692,313.7287435055433
4974,4,368.04600736092016,0.0
4975,4,365.96697538249646,5.120144763524852
4976,4,374.80067733033087,7.569961857426278
4977,4,379.9532453077137,13.053394711173127
4978,4,393.9074470488196,15.440337614283717
4979,4,412.68710718953366,23.68907341718064
4980,4,184.01080303317949,47.523293497906174
4981,4,309.2489870677388,48.64371548126332
4982,4,312.3243066773287,55.19801433672623
4983,4,351.8542166938576,66.3376346272769
4984,4,420.69677734904815,75.70686594524742
4985,4,26.721153174365462,76.05018019251924
4986,4,419.8831862655402,114.17651576284597
4987,4,97.9380045621342,116.76543246551309
4988,4,249.294013532463,122.35470351520588
4989,4,342.6808518602066,138.9341800309308
4990,4,237.68906039042466,145.14916460407744
4991,4,84.04283282761267,153.24890599095593
4992,4,201.52961497383205,160.30751339670584
4993,4,336.54270843890447,167.96649849773
4994,4,327.4402172256136,171.4887467228769
4995,4,132.13001521463977,174.26870676424053
4996,4,251.27040912118667,174.62205155697902
4997,4,386.829831717703,177.32682953083207
4998,4,99.80460064654794,194.94622447044148
4999,4,185.4980933114496,205.47000706027535
5000,4,418.3887907427224,241.5200121772008
5001,4,250.2707864571648,251.13077995610948
5002,4,92.52836603206887,259.5547024713736
5003,4,298.11430464658787,292.2707661412348
5004,4,106.20281046458233,296.4863406092897
5005,4,319.14052029157847,297.4593733182174
5006,4,300.22644186021387,299.1529972866368
5007,4,251.81705685894858,313.5838723524302
5008,7,367.4020073480402,0.0
5009,7,375.79794497295273,5.872401885743814
5010,7,380.40113302665293,13.35844790241771
5011,7,393.648589764553,16.42228894136785
5012,7,412.03663544997664,22.67591821680701
5013,7,309.122034559077,47.5792925292523
5014,7,311.7730268741458,54.51806325455964
5015,7,351.3053296557142,66.04273186346529
5016,7,408.10591343255635,74.95710853321411
5017,7,420.2194303691735,75.44377358828386
5018,7,416.36200550177,113.45823845634793
5019,7,97.42312854785847,116.48632224445579
5020,7,249.4177165138439,121.27487531023071
5021,7,342.2997882169474,138.35794163910168
5022,7,237.2123761127888,144.90168389318538
5023,7,83.33451151347582,153.15233436852895
5024,7,200.4231435611317,158.45545886027256
5025,7,131.73479689935596,173.40849135205852
5026,7,385.20240380505584,173.492157011437
5027,7,249.94812322941956,174.68860421687523
5028,7,97.98150030975077,191.79655297296208
5029,7,185.81731251695774,205.18258244370944
5030,7,417.8692428794155,241.1601927666907
5031,7,249.24862419190916,250.84597679287182
5032,7,91.90814134863201,259.4457807526823
5033,7,302.06695451863453,289.6848534186755
5034,7,105.39381215948598,296.63658644051554
5035,7,318.12563905949776,297.4088413919111
5036,7,251.58919409893255,314.36029868114315
5037,2,368.04600736092016,0.0
5038,2,376.74000753480016,0.0
5039,2,379.40888675595124,9.39440564303854
5040,2,394.0444769490637,16.336349644915625
5041,2,411.89878114331935,24.080573612746345
5042,2,309.16768417316536,49.13264286513295
5043,2,312.0251226008501,55.482940697666535
5044,2,352.05626115067264,66.78940932649323
5045,2,420.74780815142884,76.03656881169773
5046,2,419.30775210821906,114.24933536767347
5047,2,98.11243796874079,117.13997591174054
5048,2,249.50576237694858,122.20035088002794
5049,2,342.77905986456636,139.63585866037135
5050,2,237.73519458452037,145.58396722977864
5051,2,84.30795310692508,153.6476658910483
5052,2,200.5981062966363,158.27129968679694
5053,2,192.6350701054885,163.0297300266133
5054,2,336.87949105719815,168.62228557801689
5055,2,327.39202059829694,171.62196000116984
5056,2,132.15645625252142,174.5607363734221
